onset	duration	trial_no	event_type	stim_file	category	subcategory	response	correctness
0	16	0	dummy_trial	n/a	n/a	n/a	n/a	n/a
16	2	1	baseline	n/a	n/a	n/a	n/a	n/a
18	10	1	source_code	0046_SORT_IST.java	Sort	InsertionSort	n/a	n/a
28	4	1	response	n/a	n/a	n/a	Sort	correct
32	2	2	baseline	n/a	n/a	n/a	n/a	n/a
34	10	2	source_code	0001_MATH_PNM.java	Math	PrimeNumber	n/a	n/a
44	4	2	response	n/a	n/a	n/a	Math	correct
48	2	3	baseline	n/a	n/a	n/a	n/a	n/a
50	10	3	source_code	0053_SORT_SST.java	Sort	SelectionSort	n/a	n/a
60	4	3	response	n/a	n/a	n/a	Sort	correct
64	2	4	baseline	n/a	n/a	n/a	n/a	n/a
66	10	4	source_code	0011_MATH_PWR.java	Math	Power	n/a	n/a
76	4	4	response	n/a	n/a	n/a	Math	correct
80	2	5	baseline	n/a	n/a	n/a	n/a	n/a
82	10	5	source_code	0037_SORT_BST.java	Sort	BubbleSort	n/a	n/a
92	4	5	response	n/a	n/a	n/a	Sort	correct
96	2	6	baseline	n/a	n/a	n/a	n/a	n/a
98	10	6	source_code	0020_SEARCH_BSC.java	Search	BinarySearch	n/a	n/a
108	4	6	response	n/a	n/a	n/a	Search	correct
112	2	7	baseline	n/a	n/a	n/a	n/a	n/a
114	10	7	source_code	0060_STRING_SSC.java	String	FindingAWord	n/a	n/a
124	4	7	response	n/a	n/a	n/a	String	correct
128	2	8	baseline	n/a	n/a	n/a	n/a	n/a
130	10	8	source_code	0067_STRING_RLE.java	String	RunLength	n/a	n/a
140	4	8	response	n/a	n/a	n/a	String	correct
144	2	9	baseline	n/a	n/a	n/a	n/a	n/a
146	10	9	source_code	0018_MATH_GCD.java	Math	GreatestCommonDivider	n/a	n/a
156	4	9	response	n/a	n/a	n/a	Math	correct
160	2	10	baseline	n/a	n/a	n/a	n/a	n/a
162	10	10	source_code	0005_MATH_PNM.java	Math	PrimeNumber	n/a	n/a
172	4	10	response	n/a	n/a	n/a	Math	correct
176	2	11	baseline	n/a	n/a	n/a	n/a	n/a
178	10	11	source_code	0004_MATH_PNM.java	Math	PrimeNumber	n/a	n/a
188	4	11	response	n/a	n/a	n/a	Math	correct
192	2	12	baseline	n/a	n/a	n/a	n/a	n/a
194	10	12	source_code	0069_STRING_RLE.java	String	RunLength	n/a	n/a
204	4	12	response	n/a	n/a	n/a	String	correct
208	2	13	baseline	n/a	n/a	n/a	n/a	n/a
210	10	13	source_code	0017_MATH_GCD.java	Math	GreatestCommonDivider	n/a	n/a
220	4	13	response	n/a	n/a	n/a	Sort	incorrect
224	2	14	baseline	n/a	n/a	n/a	n/a	n/a
226	10	14	source_code	0057_STRING_SSC.java	String	FindingAWord	n/a	n/a
236	4	14	response	n/a	n/a	n/a	String	correct
240	2	15	baseline	n/a	n/a	n/a	n/a	n/a
242	10	15	source_code	0039_SORT_BST.java	Sort	BubbleSort	n/a	n/a
252	4	15	response	n/a	n/a	n/a	Sort	correct
256	2	16	baseline	n/a	n/a	n/a	n/a	n/a
258	10	16	source_code	0014_MATH_GCD.java	Math	GreatestCommonDivider	n/a	n/a
268	4	16	response	n/a	n/a	n/a	Sort	incorrect
272	2	17	baseline	n/a	n/a	n/a	n/a	n/a
274	10	17	source_code	0009_MATH_PWR.java	Math	Power	n/a	n/a
284	4	17	response	n/a	n/a	n/a	Math	correct
288	2	18	baseline	n/a	n/a	n/a	n/a	n/a
290	10	18	source_code	0028_SEARCH_LSC.java	Search	LinerSearch	n/a	n/a
300	4	18	response	n/a	n/a	n/a	Search	correct
304	2	19	baseline	n/a	n/a	n/a	n/a	n/a
306	10	19	source_code	0061_STRING_STS.java	String	FindingMinimumString	n/a	n/a
316	4	19	response	n/a	n/a	n/a	Sort	incorrect
320	2	20	baseline	n/a	n/a	n/a	n/a	n/a
322	10	20	source_code	0071_STRING_RLE.java	String	RunLength	n/a	n/a
332	4	20	response	n/a	n/a	n/a	Search	incorrect
336	2	21	baseline	n/a	n/a	n/a	n/a	n/a
338	10	21	source_code	0041_SORT_BST.java	Sort	BubbleSort	n/a	n/a
348	4	21	response	n/a	n/a	n/a	Sort	correct
352	2	22	baseline	n/a	n/a	n/a	n/a	n/a
354	10	22	source_code	0054_SORT_SST.java	Sort	SelectionSort	n/a	n/a
364	4	22	response	n/a	n/a	n/a	Sort	correct
368	2	23	baseline	n/a	n/a	n/a	n/a	n/a
370	10	23	source_code	0036_SEARCH_LSC.java	Search	LinerSearch	n/a	n/a
